"GWRr2","GWRbx","GWRby","GWR_xSE","GWR_ySE","DMCE","DMCN","Year","Year.1","PlotID","DMCE.1","DMCN.1","long","lat"
0.118952714259154,-1.64719867925739e-05,4.42769687299044e-05,1.13791598600232e-05,1.85112423435991e-05,687816,4336293,2013,2013,34,687816,4336293,-96.8263554948121,39.1555905666155
0.775050189237049,0.00013133355528731,9.10397049833329e-05,1.0007303260169e-05,1.26529775673907e-05,688851,4335878,2013,2013,36,688851,4335878,-96.8145009345505,39.151629704775
0.915532286039942,0.000136882330171327,0.000101566870791374,5.98282761792929e-06,1.63349597434664e-05,689390,4335491,2013,2013,38,689390,4335491,-96.8083756903961,39.148027845931
0.677571389239068,6.84533871295636e-05,0.000110389481657387,1.65101716232739e-05,1.10253899765714e-05,690319,4335569,2013,2013,39,690319,4335569,-96.7976107861848,39.148527589142
0.848283410265597,0.000247858340030981,-0.000205433275306778,2.90195872541801e-05,1.56581554811667e-05,699110,4335777,2013,2013,41,699110,4335777,-96.6958945499527,39.1484341471222
0.520120195231299,0.000181249202163149,-0.000161694752032328,3.6269948631856e-05,2.26881764867524e-05,699887,4335244,2013,2013,43,699887,4335244,-96.6870670692525,39.1434570771098
0.125294064236699,7.0504471455636e-05,-3.19042156077703e-05,2.73177433007681e-05,2.13110307052536e-05,689763,4327822,2013,2013,46,689763,4327822,-96.8062055135252,39.0788906906791
0.168118116464528,2.32503679496598e-05,1.48729338272172e-05,7.29424073470837e-06,1.15165339700165e-05,685745,4337285,2013,2013,52,685745,4337285,-96.8500358827646,39.1649677559199
0.482362020440461,-4.13707979717357e-05,2.0058771934961e-05,6.16866061297278e-06,5.27872643937704e-06,690343,4342754,2013,2013,55,690343,4342754,-96.7953123794495,39.2132189310802
0.091600082862891,-7.05587784519223e-06,1.08298833678981e-05,7.48226414770907e-06,4.95702600977205e-06,688724,4340392,2013,2013,57,688724,4340392,-96.8147113909806,39.192303676485
0.64731487471459,0.000627868204856392,1.32735206418156e-05,8.08852849924797e-05,3.34602801129448e-05,699919,4338401,2013,2013,59,699919,4338401,-96.6857655612432,39.1718745641497
0.114174017439626,-0.000152342702892297,7.26787887830407e-06,5.97902674546284e-05,2.31043664556406e-05,698880,4338256,2013,2013,62,698880,4338256,-96.6978263765876,39.1708071949147
0.121951832100756,9.35938532860873e-06,2.29183057262583e-05,1.01023872859116e-05,8.61253310718554e-06,683657,4340892,2013,2013,68,683657,4340892,-96.8732095351668,39.1978915582774
0.715142937347548,-6.12884578215158e-05,0.000164246524544662,1.47482371149065e-05,1.9663271296378e-05,679223,4342383,2013,2013,74,679223,4342383,-96.9241290462506,39.212244001592
0.508694867493599,3.98061040597939e-05,9.13105614306259e-05,6.35590927966927e-06,1.93809752320675e-05,678602,4341954,2013,2013,75,678602,4341954,-96.9314308494289,39.208508717658
0.631031887471217,0.000289739023781155,0.000115968775334797,3.15938477150612e-05,2.38732451787475e-05,699491,4341143,2013,2013,76,699491,4341143,-96.6899078650489,39.196661065682
0.824876166148459,0.000204744396579395,0.000165062692222278,3.92392996896583e-05,1.08522923153885e-05,699856,4340373,2013,2013,77,699856,4340373,-96.685911936596,39.1896443626535
0.318168547196433,-1.44411992539331e-06,7.13503042220382e-05,1.03700122765541e-05,1.53781915304392e-05,697260,4342951,2013,2013,78,697260,4342951,-96.7151957653304,39.2134493057588
0.542692612222274,0.000203171663345712,-8.39942037696676e-05,3.31159577224886e-05,1.38713696451515e-05,676312,4346848,2013,2013,80,676312,4346848,-96.9566595248404,39.2530482899512
0.308297437755184,1.84761899638693e-05,-9.62717578066211e-05,3.16793035342217e-05,2.02025426848184e-05,678273,4347586,2013,2013,82,678273,4347586,-96.9337514187268,39.2592931692754
0.802967339661574,-8.19500148925696e-06,7.68095244764604e-05,8.30853744916287e-06,1.07163698544454e-05,676886,4344205,2013,2013,84,676886,4344205,-96.9507041353068,39.2291306532017
0.751428437441868,-0.000168731103871507,-2.1803198079523e-05,1.81452207784655e-05,1.11296292189718e-05,677227,4344166,2013,2013,85,677227,4344166,-96.9467661198735,39.2287098929298
0.441311495298497,0.000225491616444537,1.34461838453673e-05,3.64579734627127e-05,1.4359303885675e-05,676498,4343650,2013,2013,87,676498,4343650,-96.9553416755913,39.2242117188274
0.320792566852767,-5.9116901575317e-05,1.5480523393846e-05,1.48307046557861e-05,1.17386532962622e-05,684077,4343344,2013,2013,89,684077,4343344,-96.8676810875185,39.2198824136854
0.66627834277562,-9.20355750619687e-05,-0.0001066031230256,2.23319602627008e-05,1.066142328923e-05,684252,4343757,2013,2013,91,684252,4343757,-96.8655425545409,39.2235642573241
0.547803786687499,-6.26597991565538e-05,3.35036044393225e-05,9.44786803713259e-06,9.53499173481369e-06,684326,4345173,2013,2013,93,684326,4345173,-96.8642992351763,39.2362992436346
0.0428837368599778,9.43524864932489e-06,1.14007092753825e-05,1.17189277106933e-05,1.06979126920103e-05,685915,4346284,2013,2013,95,685915,4346284,-96.8455942045008,39.2459643903708
0.931028100653813,-0.000101605291116294,-9.9995279465848e-05,5.20772060903923e-06,1.14176721937507e-05,683344,4344923,2013,2013,99,683344,4344923,-96.8757378021723,39.2342560746885
0.341138083925514,-0.000105649578844815,-7.81707476934439e-06,2.1090092174531e-05,2.02960740281983e-05,682635,4344636,2013,2013,100,682635,4344636,-96.8840248340938,39.2318211800532
